400.00000000	749.68372201
402.00000000	732.34522685
404.00000000	732.53179935
406.00000000	737.39497083
408.00000000	720.12702795
410.00000000	715.92935566
412.00000000	732.04781354
414.00000000	741.62952076
416.00000000	746.33867505
418.00000000	746.27628623
420.00000000	720.95241119
422.00000000	700.39768394
424.00000000	725.10177558
426.00000000	727.72511801
428.00000000	689.67582459
430.00000000	684.65130541
432.00000000	697.30952502
434.00000000	693.19149889
436.00000000	711.74389580
438.00000000	738.40746880
440.00000000	716.00104872
442.00000000	696.62647877
444.00000000	717.55478463
446.00000000	726.63503053
448.00000000	714.82683727
450.00000000	705.21784881
452.00000000	712.66394111
454.00000000	723.57631398
456.00000000	702.44346576
458.00000000	684.69505728
460.00000000	703.32079879
462.00000000	716.77011770
464.00000000	707.65358140
466.00000000	689.09638804
468.00000000	685.43259698
470.00000000	697.47076554
472.00000000	692.53631241
474.00000000	684.96114350
476.00000000	699.18417351
478.00000000	715.01798543
480.00000000	712.07270671
482.00000000	686.30343166
484.00000000	682.29528289
486.00000000	715.53348737
488.00000000	729.35937895
490.00000000	728.11174819
492.00000000	739.33409430
494.00000000	731.01615941
496.00000000	711.15520661
498.00000000	730.99683897
500.00000000	756.10925650
502.00000000	749.02607423
504.00000000	732.06133798
506.00000000	727.43460209
508.00000000	739.57997059
510.00000000	728.23358993
512.00000000	705.44384779
514.00000000	737.78399367
516.00000000	752.36963373
518.00000000	706.05621498
520.00000000	732.59178343
522.00000000	792.73234908
524.00000000	758.29672577
526.00000000	715.76125527
528.00000000	722.28061941
530.00000000	736.67696204
532.00000000	756.96320292
534.00000000	775.46798945
536.00000000	735.54201842
538.00000000	690.55454252
540.00000000	730.89887801
542.00000000	745.08414745
544.00000000	700.15841434
546.00000000	708.17548888
548.00000000	734.14472033
550.00000000	724.00476120
552.00000000	730.13516530
554.00000000	752.91109442
556.00000000	753.97825196
558.00000000	738.18519811
560.00000000	722.48604800
562.00000000	721.60027678
564.00000000	722.84141001
566.00000000	714.11815461
568.00000000	708.23717990
570.00000000	710.20083176
572.00000000	716.21019079
574.00000000	719.22045263
576.00000000	719.12118255
578.00000000	723.21023619
580.00000000	729.35696384
582.00000000	731.48585156
584.00000000	724.98357336
586.00000000	723.74303088
588.00000000	743.20594949
590.00000000	765.19451027
592.00000000	765.48760856
594.00000000	731.37371349
596.00000000	709.01812477
598.00000000	723.44582560
600.00000000	733.54891816
602.00000000	730.23122309
604.00000000	726.11200177
606.00000000	732.16639260
608.00000000	739.28725516
610.00000000	727.75333130
612.00000000	711.50194170
614.00000000	705.84297277
616.00000000	712.57811986
618.00000000	722.88241799
620.00000000	728.47417559
622.00000000	733.44037474
624.00000000	753.35580973
626.00000000	790.71719012
628.00000000	775.26220252
630.00000000	712.89613343
632.00000000	700.56591992
634.00000000	730.61870142
636.00000000	762.03498733
638.00000000	772.15636028
640.00000000	770.35622753
642.00000000	773.67073049
644.00000000	770.62111080
646.00000000	766.38807410
648.00000000	776.23639738
650.00000000	771.22666155
652.00000000	744.31759425
654.00000000	730.59607628
656.00000000	721.44710515
658.00000000	709.99456989
660.00000000	733.27049517
662.00000000	771.02278139
664.00000000	779.03265044
666.00000000	777.13042834
668.00000000	789.56740961
670.00000000	820.59658918
672.00000000	819.36850885
674.00000000	778.10955906
676.00000000	770.91046728
678.00000000	783.91247838
680.00000000	781.96058762
682.00000000	787.24323573
684.00000000	796.69521123
686.00000000	792.27875235
688.00000000	788.83617717
690.00000000	789.74610403
692.00000000	783.74030363
694.00000000	788.71823946
696.00000000	807.98529129
698.00000000	810.60610413
700.00000000	800.27382103
702.00000000	794.43933391
704.00000000	797.54501561
706.00000000	796.96107077
708.00000000	782.92670525
710.00000000	791.18308628
712.00000000	815.35009097
714.00000000	806.05205301
716.00000000	769.32192032
718.00000000	746.34433021
720.00000000	789.86882515
722.00000000	852.73326345
724.00000000	876.53100804
726.00000000	877.43277214
728.00000000	861.04806992
730.00000000	829.81877695
732.00000000	815.28704462
734.00000000	815.49943826
736.00000000	803.78740556
738.00000000	804.18024962
740.00000000	820.23227736
742.00000000	818.13418318
744.00000000	813.14448457
746.00000000	825.97468803
748.00000000	848.89181783
750.00000000	862.85340827
752.00000000	862.28482542
754.00000000	882.76351759
756.00000000	899.41679222
758.00000000	863.33049037
760.00000000	822.13258604
762.00000000	808.17743775
764.00000000	811.83904187
766.00000000	807.66717688
768.00000000	793.67572422
770.00000000	801.65538041
772.00000000	824.05907210
774.00000000	840.75435278
776.00000000	843.98075172
778.00000000	839.68044504
780.00000000	840.89088133
782.00000000	858.65374622
784.00000000	881.67859520
786.00000000	887.71913382
788.00000000	877.87641508
790.00000000	862.76716108
792.00000000	854.60272091
